node_id,intervention,mean_total_conflicts,std_total_conflicts,mean_severe_conflicts,std_severe_conflicts,num_replicates,baseline_mean_conflicts,baseline_mean_severe,conflict_delta,conflict_pct_change,severe_delta,severe_pct_change,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,likely_real_effect
cluster_1186025344_13298747727_13298747728_13298747738_#3more,signal_retiming,499.3333333333333,48.294237061303,174.66666666666666,17.097758137642877,3,497.6666666666667,169.33333333333334,1.6666666666666288,0.33489618218351547,5.333333333333314,3.1496062992125875,traffic_light,True,15,15,11.85,22.57220210547858,88.35292185263569,36,2.8072222222222223,12.88,28,0.0783333333333333,33.845882352941175,0.0,-0.1005882352941176,18.283529411764704,0.17,-0.2827777777777778,-5.0,154,18,False
cluster_1186025344_13298747727_13298747728_13298747738_#3more,speed_breaker,495.6666666666667,6.506407098647712,180.66666666666666,4.725815626252605,3,497.6666666666667,169.33333333333334,-2.0,-0.4018754186202277,11.333333333333314,6.69291338582676,traffic_light,True,15,15,11.85,22.57220210547858,88.35292185263569,36,2.8072222222222223,12.88,28,0.0783333333333333,33.845882352941175,0.0,-0.1005882352941176,18.283529411764704,0.17,-0.2827777777777778,-5.0,154,18,False
cluster_11944729366_664471711,none,257.3333333333333,10.503967504392486,88.0,14.933184523068078,3,257.3333333333333,88.0,0.0,0.0,0.0,0.0,priority,False,9,5,19.75,22.56849216235412,88.35730189161745,24,17.32241379310345,18.0,5,0.036551724137931,62.39692307692307,0.0,0.4392307692307692,6.3769230769230765,0.29,-0.6051724137931035,-5.0,296,29,False
cluster_11944729366_664471711,speed_breaker,255.33333333333334,24.006943440041116,76.0,4.58257569495584,3,257.3333333333333,88.0,-1.9999999999999716,-0.7772020725388491,-12.0,-13.636363636363635,priority,False,9,5,19.75,22.56849216235412,88.35730189161745,24,17.32241379310345,18.0,5,0.036551724137931,62.39692307692307,0.0,0.4392307692307692,6.3769230769230765,0.29,-0.6051724137931035,-5.0,296,29,False
cluster_13298740740_664446558,none,498.6666666666667,14.011899704655809,164.66666666666666,5.5075705472861065,3,498.6666666666667,164.66666666666666,0.0,0.0,0.0,0.0,traffic_light,True,8,8,15.28,22.57395063408587,88.35363012487605,21,8.617999999999999,17.96,11,0.0766666666666666,35.96933333333333,0.0,-1.9653333333333332,9.004666666666667,0.5,-0.4386666666666666,-5.0,208,15,False
cluster_13298740740_664446558,signal_retiming,498.6666666666667,14.011899704655809,164.66666666666666,5.5075705472861065,3,498.6666666666667,164.66666666666666,0.0,0.0,0.0,0.0,traffic_light,True,8,8,15.28,22.57395063408587,88.35363012487605,21,8.617999999999999,17.96,11,0.0766666666666666,35.96933333333333,0.0,-1.9653333333333332,9.004666666666667,0.5,-0.4386666666666666,-5.0,208,15,False
cluster_13298740740_664446558,speed_breaker,497.6666666666667,3.0550504633038997,180.66666666666666,4.509249752822891,3,498.6666666666667,164.66666666666666,-1.0,-0.20053475935828874,16.0,9.7165991902834,traffic_light,True,8,8,15.28,22.57395063408587,88.35363012487605,21,8.617999999999999,17.96,11,0.0766666666666666,35.96933333333333,0.0,-1.9653333333333332,9.004666666666667,0.5,-0.4386666666666666,-5.0,208,15,False
cluster_664446535_8507351665_8507351666,none,520.0,8.660254037844387,187.66666666666666,8.621678104251705,3,520.0,187.66666666666666,0.0,0.0,0.0,0.0,traffic_light,True,8,8,13.2,22.5731532548366,88.35338610162907,43,6.155714285714285,15.96,23,0.0664285714285714,31.266428571428573,0.0,0.5914285714285714,7.442142857142857,0.03,0.1185714285714285,-5.0,141,14,False
cluster_664446535_8507351665_8507351666,signal_retiming,527.6666666666666,6.6583281184794,188.66666666666666,2.08166599946613,3,520.0,187.66666666666666,7.666666666666629,1.4743589743589671,1.0,0.5328596802841918,traffic_light,True,8,8,13.2,22.5731532548366,88.35338610162907,43,6.155714285714285,15.96,23,0.0664285714285714,31.266428571428573,0.0,0.5914285714285714,7.442142857142857,0.03,0.1185714285714285,-5.0,141,14,True
cluster_664446535_8507351665_8507351666,speed_breaker,517.6666666666666,22.501851775650216,193.0,1.0,3,520.0,187.66666666666666,-2.3333333333333712,-0.44871794871795595,5.333333333333343,2.8419182948490285,traffic_light,True,8,8,13.2,22.5731532548366,88.35338610162907,43,6.155714285714285,15.96,23,0.0664285714285714,31.266428571428573,0.0,0.5914285714285714,7.442142857142857,0.03,0.1185714285714285,-5.0,141,14,False
